Airport_Key,Airport_Code,City_Name,State_Name
1,ABE,"Allentown/Bethlehem/Easton, PA",Pennsylvania
2,ABI,"Abilene, TX",Texas
3,ABQ,"Albuquerque, NM",New Mexico
4,ABR,"Aberdeen, SD",South Dakota
5,ABY,"Albany, GA",Georgia
6,ACK,"Nantucket, MA",Massachusetts
7,ACT,"Waco, TX",Texas
8,ACV,"Arcata/Eureka, CA",California
9,ACY,"Atlantic City, NJ",New Jersey
10,ADK,"Adak Island, AK",Alaska
11,ADQ,"Kodiak, AK",Alaska
12,AEX,"Alexandria, LA",Louisiana
13,AGS,"Augusta, GA",Georgia
14,AKN,"King Salmon, AK",Alaska
15,ALB,"Albany, NY",New York
16,ALW,"Walla Walla, WA",Washington
17,AMA,"Amarillo, TX",Texas
18,ANC,"Anchorage, AK",Alaska
19,APN,"Alpena, MI",Michigan
20,ASE,"Aspen, CO",Colorado
21,ATL,"Atlanta, GA",Georgia
22,ATW,"Appleton, WI",Wisconsin
23,AUS,"Austin, TX",Texas
24,AVL,"Asheville, NC",North Carolina
25,AVP,"Scranton/Wilkes-Barre, PA",Pennsylvania
26,AZA,"Phoenix, AZ",Arizona
27,AZO,"Kalamazoo, MI",Michigan
28,BDL,"Hartford, CT",Connecticut
29,BET,"Bethel, AK",Alaska
30,BFF,"Scottsbluff, NE",Nebraska
31,BFL,"Bakersfield, CA",California
32,BGM,"Binghamton, NY",New York
33,BGR,"Bangor, ME",Maine
34,BHM,"Birmingham, AL",Alabama
35,BIH,"Bishop, CA",California
36,BIL,"Billings, MT",Montana
37,BIS,"Bismarck/Mandan, ND",North Dakota
38,BJI,"Bemidji, MN",Minnesota
39,BLI,"Bellingham, WA",Washington
40,BLV,"Belleville, IL",Illinois
41,BMI,"Bloomington/Normal, IL",Illinois
42,BNA,"Nashville, TN",Tennessee
43,BOI,"Boise, ID",Idaho
44,BOS,"Boston, MA",Massachusetts
45,BPT,"Beaumont/Port Arthur, TX",Texas
46,BQK,"Brunswick, GA",Georgia
47,BQN,"Aguadilla, PR",Puerto Rico
48,BRD,"Brainerd, MN",Minnesota
49,BRO,"Brownsville, TX",Texas
50,BRW,"Barrow, AK",Alaska
51,BTM,"Butte, MT",Montana
52,BTR,"Baton Rouge, LA",Louisiana
53,BTV,"Burlington, VT",Vermont
54,BUF,"Buffalo, NY",New York
55,BUR,"Burbank, CA",California
56,BWI,"Baltimore, MD",Maryland
57,BZN,"Bozeman, MT",Montana
58,CAE,"Columbia, SC",South Carolina
59,CAK,"Akron, OH",Ohio
60,CDC,"Cedar City, UT",Utah
61,CDV,"Cordova, AK",Alaska
62,CHA,"Chattanooga, TN",Tennessee
63,CHO,"Charlottesville, VA",Virginia
